core_path,donor_path,original_donor_path,disposition,commit,note,replacement_checks
lib/examples/01_basic/01_01_minimal_agent/minimal_agent.ex,lib/examples/01_basic/01_01_minimal_agent/minimal_agent.ex,lib/examples/01_basic/01_01_minimal_actor/minimal_actor.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/01_basic/01_02_typed_command_agent/typed_command_agent.ex,lib/examples/01_basic/01_02_typed_command_agent/typed_command_agent.ex,lib/examples/01_basic/01_02_typed_command_actor/typed_command_actor.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/01_basic/01_03_plugin_state_agent/plugin_state_agent.ex,lib/examples/01_basic/01_03_plugin_state_agent/plugin_state_agent.ex,lib/examples/01_basic/01_03_plugin_state_actor/plugin_state_actor.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/01_basic/01_04_directive_agent/directive_agent.ex,lib/examples/01_basic/01_04_directive_agent/directive_agent.ex,lib/examples/01_basic/01_04_directive_actor/directive_actor.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/01_basic/01_04_directive_agent/effects.ex,lib/examples/01_basic/01_04_directive_agent/effects.ex,lib/examples/01_basic/01_04_directive_actor/effects.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/01_basic/01_05_controlled_turn_agent/controlled_turn_agent.ex,lib/examples/01_basic/01_05_controlled_turn_agent/controlled_turn_agent.ex,lib/examples/01_basic/01_05_controlled_turn_actor/controlled_turn_actor.ex,add,M02,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/02_workflow/02_01_sequential_flow/sequential_flow.ex,lib/examples/02_workflow/02_01_sequential_flow/sequential_flow.ex,lib/examples/02_workflow/02_01_sequential_flow/sequential_flow.ex,add,M05,,
lib/examples/02_workflow/02_02_effectful_steps/effectful_steps.ex,lib/examples/02_workflow/02_02_effectful_steps/effectful_steps.ex,lib/examples/02_workflow/02_02_effectful_steps/effectful_steps.ex,add,M05,,
lib/examples/02_workflow/02_03_conditional_routes/conditional_routes.ex,lib/examples/02_workflow/02_03_conditional_routes/conditional_routes.ex,lib/examples/02_workflow/02_03_conditional_routes/conditional_routes.ex,add,M05,,
lib/examples/02_workflow/02_04_parallel_join/parallel_join.ex,lib/examples/02_workflow/02_04_parallel_join/parallel_join.ex,lib/examples/02_workflow/02_04_parallel_join/parallel_join.ex,add,M05,,
lib/examples/02_workflow/02_05_ordered_batch/ordered_batch.ex,lib/examples/02_workflow/02_05_ordered_batch/ordered_batch.ex,lib/examples/02_workflow/02_05_ordered_batch/ordered_batch.ex,add,M05,,
lib/examples/02_workflow/02_06_bounded_iteration/bounded_iteration.ex,lib/examples/02_workflow/02_06_bounded_iteration/bounded_iteration.ex,lib/examples/02_workflow/02_06_bounded_iteration/bounded_iteration.ex,add,M05,,
lib/examples/02_workflow/02_07_nested_flow/nested_flow.ex,lib/examples/02_workflow/02_07_nested_flow/nested_flow.ex,lib/examples/02_workflow/02_07_nested_flow/nested_flow.ex,add,M05,,
lib/examples/02_workflow/02_08_executable_continuation/executable_continuation.ex,lib/examples/02_workflow/02_08_executable_continuation/executable_continuation.ex,lib/examples/02_workflow/02_08_executable_continuation/executable_continuation.ex,add,M05,,
lib/examples/02_workflow/02_09_approval_workflow/approval_workflow.ex,lib/examples/02_workflow/02_09_approval_workflow/approval_workflow.ex,lib/examples/02_workflow/02_09_approval_workflow/approval_workflow.ex,add,M05,,
lib/examples/02_workflow/observation.ex,lib/examples/02_workflow/observation.ex,lib/examples/02_workflow/observation.ex,add,M05,,
lib/examples/03_llm/03_01_model_response/model_response.ex,lib/examples/03_llm/03_01_model_response/model_response.ex,lib/examples/03_llm/03_01_model_response/model_response.ex,add,M06,,
lib/examples/03_llm/03_02_conversation_history/conversation_history.ex,lib/examples/03_llm/03_02_conversation_history/conversation_history.ex,lib/examples/03_llm/03_02_conversation_history/conversation_history.ex,add,M06,,
lib/examples/03_llm/03_03_tool_call/tool_call.ex,lib/examples/03_llm/03_03_tool_call/tool_call.ex,lib/examples/03_llm/03_03_tool_call/tool_call.ex,add,M06,,
lib/examples/03_llm/03_04_tool_loop/react_agent.ex,lib/examples/03_llm/03_04_tool_loop/react_agent.ex,lib/examples/03_llm/03_04_tool_loop/react_agent.ex,add,M06,,
lib/examples/03_llm/03_05_parallel_tools/parallel_tools.ex,lib/examples/03_llm/03_05_parallel_tools/parallel_tools.ex,lib/examples/03_llm/03_05_parallel_tools/parallel_tools.ex,add,M06,,
lib/examples/03_llm/03_06_grounded_answer/grounded_answer.ex,lib/examples/03_llm/03_06_grounded_answer/grounded_answer.ex,lib/examples/03_llm/03_06_grounded_answer/grounded_answer.ex,add,M06,,
lib/examples/03_llm/03_07_output_repair/output_repair.ex,lib/examples/03_llm/03_07_output_repair/output_repair.ex,lib/examples/03_llm/03_07_output_repair/output_repair.ex,add,M06,,
lib/examples/03_llm/03_08_context_compaction/context_compaction.ex,lib/examples/03_llm/03_08_context_compaction/context_compaction.ex,lib/examples/03_llm/03_08_context_compaction/context_compaction.ex,add,M06,,
lib/examples/03_llm/03_09_subagent_delegation/subagent_delegation.ex,lib/examples/03_llm/03_09_subagent_delegation/subagent_delegation.ex,lib/examples/03_llm/03_09_subagent_delegation/subagent_delegation.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/contracts.ex,lib/examples/03_llm/03_10_recursive_analysis/contracts.ex,lib/examples/03_llm/03_10_recursive_analysis/contracts.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/corpus.ex,lib/examples/03_llm/03_10_recursive_analysis/corpus.ex,lib/examples/03_llm/03_10_recursive_analysis/corpus.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/fixtures.ex,lib/examples/03_llm/03_10_recursive_analysis/fixtures.ex,lib/examples/03_llm/03_10_recursive_analysis/fixtures.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/recursive_language_model.ex,lib/examples/03_llm/03_10_recursive_analysis/recursive_language_model.ex,lib/examples/03_llm/03_10_recursive_analysis/recursive_language_model.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/runner.ex,lib/examples/03_llm/03_10_recursive_analysis/runner.ex,lib/examples/03_llm/03_10_recursive_analysis/runner.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/scripted_model.ex,lib/examples/03_llm/03_10_recursive_analysis/scripted_model.ex,lib/examples/03_llm/03_10_recursive_analysis/scripted_model.ex,add,M06,,
lib/examples/03_llm/03_10_recursive_analysis/stress.exs,lib/examples/03_llm/03_10_recursive_analysis/stress.exs,lib/examples/03_llm/03_10_recursive_analysis/stress.exs,add,M06,,
lib/examples/03_llm/README.md,lib/examples/03_llm/README.md,lib/examples/03_llm/README.md,add,M06,,
lib/examples/03_llm/adapter.ex,lib/examples/03_llm/adapter.ex,lib/examples/03_llm/adapter.ex,add,M06,,
lib/examples/04_runtime/04_01_scheduled_signals/scheduled_counter.ex,lib/examples/04_runtime/04_01_scheduled_signals/scheduled_counter.ex,lib/examples/04_runtime/04_01_scheduled_signals/scheduled_counter.ex,add,M07,,
lib/examples/04_runtime/04_02_keyed_timers/burst_buncher.ex,lib/examples/04_runtime/04_02_keyed_timers/burst_buncher.ex,lib/examples/04_runtime/04_02_keyed_timers/burst_buncher.ex,add,M07,,
lib/examples/04_runtime/04_03_bus_delivery/bus_delivery.ex,lib/examples/04_runtime/04_03_bus_delivery/bus_delivery.ex,lib/examples/04_runtime/04_03_bus_delivery/bus_delivery.ex,add,M07,,
lib/examples/04_runtime/04_04_managed_jobs/managed_jobs.ex,lib/examples/04_runtime/04_04_managed_jobs/managed_jobs.ex,lib/examples/04_runtime/04_04_managed_jobs/managed_jobs.ex,add,M07,,
lib/examples/04_runtime/04_05_runtime_inspection/agent_live_debugger.ex,lib/examples/04_runtime/04_05_runtime_inspection/agent_live_debugger.ex,lib/examples/04_runtime/04_05_runtime_inspection/agent_live_debugger.ex,add,M07,,
lib/examples/04_runtime/04_06_state_recovery/persistent_counter_recovery.ex,lib/examples/04_runtime/04_06_state_recovery/persistent_counter_recovery.ex,lib/examples/04_runtime/04_06_state_recovery/persistent_counter_recovery.ex,add,M07,,
lib/examples/04_runtime/04_07_input_deduplication/deduplicating_inbox.ex,lib/examples/04_runtime/04_07_input_deduplication/deduplicating_inbox.ex,lib/examples/04_runtime/04_07_input_deduplication/deduplicating_inbox.ex,add,M07,,
lib/examples/04_runtime/04_08_commit_outbox/audit_outbox.ex,lib/examples/04_runtime/04_08_commit_outbox/audit_outbox.ex,lib/examples/04_runtime/04_08_commit_outbox/audit_outbox.ex,add,M07,,
lib/examples/04_runtime/04_09_agent_observation/demo.exs,lib/examples/04_runtime/04_09_agent_observation/demo.exs,lib/examples/04_runtime/04_09_actor_observation/demo.exs,add,M07,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/04_runtime/04_09_agent_observation/event_probe.ex,lib/examples/04_runtime/04_09_agent_observation/event_probe.ex,lib/examples/04_runtime/04_09_actor_observation/event_probe.ex,add,M07,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/04_runtime/04_09_agent_observation/turn_observation.ex,lib/examples/04_runtime/04_09_agent_observation/turn_observation.ex,lib/examples/04_runtime/04_09_actor_observation/turn_observation.ex,add,M07,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/04_runtime/04_10_causal_trace/causal_trace.ex,lib/examples/04_runtime/04_10_causal_trace/causal_trace.ex,lib/examples/04_runtime/04_10_causal_trace/causal_trace.ex,add,M07,,
lib/examples/04_runtime/04_11_recoverable_delivery/delivery_worker.ex,lib/examples/04_runtime/04_11_recoverable_delivery/delivery_worker.ex,lib/examples/04_runtime/04_11_recoverable_delivery/delivery_worker.ex,add,M07,,
lib/examples/04_runtime/04_11_recoverable_delivery/demo.exs,lib/examples/04_runtime/04_11_recoverable_delivery/demo.exs,lib/examples/04_runtime/04_11_recoverable_delivery/demo.exs,add,M07,,
lib/examples/04_runtime/04_11_recoverable_delivery/recoverable_delivery.ex,lib/examples/04_runtime/04_11_recoverable_delivery/recoverable_delivery.ex,lib/examples/04_runtime/04_11_recoverable_delivery/recoverable_delivery.ex,add,M07,,
lib/examples/04_runtime/04_12_pending_job_recovery/pending_job_recovery.ex,lib/examples/04_runtime/04_12_pending_job_recovery/pending_job_recovery.ex,lib/examples/04_runtime/04_12_pending_job_recovery/pending_job_recovery.ex,add,M07,,
lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_probe.ex,lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_probe.ex,lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_probe.ex,add,M07,,
lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_recovery.ex,lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_recovery.ex,lib/examples/04_runtime/04_13_durable_scheduling/scheduled_occurrence_recovery.ex,add,M07,,
lib/examples/04_runtime/README.md,lib/examples/04_runtime/README.md,lib/examples/04_runtime/README.md,add,M07,,
lib/examples/05_multi_agent/05_01_child_lifecycle/child_lifecycle.ex,lib/examples/05_multi_agent/05_01_child_lifecycle/child_lifecycle.ex,lib/examples/05_multi_agent/05_01_child_lifecycle/child_lifecycle.ex,add,M08,,
lib/examples/05_multi_agent/05_01_child_lifecycle/worker.ex,lib/examples/05_multi_agent/05_01_child_lifecycle/worker.ex,lib/examples/05_multi_agent/05_01_child_lifecycle/worker.ex,add,M08,,
lib/examples/05_multi_agent/05_02_correlated_requests/correlated_requests.ex,lib/examples/05_multi_agent/05_02_correlated_requests/correlated_requests.ex,lib/examples/05_multi_agent/05_02_correlated_requests/correlated_requests.ex,add,M08,,
lib/examples/05_multi_agent/05_03_bounded_workers/bounded_workers.ex,lib/examples/05_multi_agent/05_03_bounded_workers/bounded_workers.ex,lib/examples/05_multi_agent/05_03_bounded_workers/bounded_workers.ex,add,M08,,
lib/examples/05_multi_agent/05_04_agent_hierarchy/agent_hierarchy.ex,lib/examples/05_multi_agent/05_04_agent_hierarchy/agent_hierarchy.ex,lib/examples/05_multi_agent/05_04_actor_hierarchy/actor_hierarchy.ex,add,M08,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/05_multi_agent/05_05_remote_child/demo.exs,lib/examples/05_multi_agent/05_05_remote_child/demo.exs,lib/examples/05_multi_agent/05_05_remote_child/demo.exs,add,M08,,
lib/examples/05_multi_agent/05_05_remote_child/remote_child.ex,lib/examples/05_multi_agent/05_05_remote_child/remote_child.ex,lib/examples/05_multi_agent/05_05_remote_child/remote_child.ex,add,M08,,
lib/examples/05_multi_agent/05_06_remote_lifecycle/remote_lifecycle.ex,lib/examples/05_multi_agent/05_06_remote_lifecycle/remote_lifecycle.ex,lib/examples/05_multi_agent/05_06_remote_lifecycle/remote_lifecycle.ex,add,M08,,
lib/examples/05_multi_agent/README.md,lib/examples/05_multi_agent/README.md,lib/examples/05_multi_agent/README.md,add,M08,,
lib/examples/06_factory/06_01_live_conversation/conversation.ex,lib/examples/06_factory/06_01_live_conversation/conversation.ex,lib/examples/06_factory/06_01_live_conversation/conversation.ex,add,M09,,
lib/examples/06_factory/06_02_three_agent_system/conversation.ex,lib/examples/06_factory/06_02_three_agent_system/conversation.ex,lib/examples/06_factory/06_02_three_actor_system/conversation.ex,add,M09,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/06_factory/06_02_three_agent_system/system.ex,lib/examples/06_factory/06_02_three_agent_system/system.ex,lib/examples/06_factory/06_02_three_actor_system/system.ex,add,M09,Prepared Agent source; dependency checks and core acceptance required,
lib/examples/06_factory/06_02_three_agent_system/work_item.ex,lib/examples/06_factory/06_02_three_agent_system/work_item.ex,lib/examples/06_factory/06_02_three_actor_system/work_item.ex,add,M09,Prepared Agent source; dependency checks and core acceptance required,
